iter	Passed	Remaining
0	3	298
1	5	267
2	7	256
3	10	260
4	13	254
5	16	251
6	18	247
7	21	242
8	23	237
9	26	234
10	28	230
11	31	229
12	33	226
13	36	223
14	38	220
15	41	217
16	43	214
17	46	212
18	49	211
19	52	208
20	55	207
21	57	205
22	60	202
23	63	200
24	65	197
25	68	195
26	71	193
27	73	190
28	76	187
29	79	185
30	81	182
31	84	179
32	87	177
33	89	174
34	92	171
35	94	168
36	97	166
37	100	163
38	102	160
39	105	157
40	107	155
41	110	152
42	113	150
43	116	147
44	118	144
45	121	142
46	123	139
47	126	137
48	129	134
49	132	132
50	134	129
51	137	126
52	139	123
53	142	121
54	144	118
55	147	115
56	150	113
57	152	110
58	155	107
59	158	105
60	161	103
61	163	100
62	166	97
63	168	94
64	171	92
65	174	89
66	177	87
67	180	84
68	182	82
69	185	79
70	187	76
71	190	74
72	193	71
73	196	69
74	198	66
75	201	63
76	203	60
77	206	58
78	208	55
79	211	52
80	214	50
81	216	47
82	219	44
83	222	42
84	224	39
85	227	37
86	230	34
87	232	31
88	235	29
89	238	26
90	240	23
91	243	21
92	245	18
93	248	15
94	251	13
95	254	10
96	256	7
97	259	5
98	262	2
99	265	0
